@relation 'D:\\matlab workspace\\a =2- .libsvm'

@attribute x^1 numeric
@attribute x^2 numeric
@attribute x^3 numeric
@attribute x^4 numeric
@attribute x^5 numeric
@attribute x^6 numeric
@attribute x^7 numeric
@attribute x^8 numeric
@attribute x^9 numeric
@attribute class numeric

@data
{0 -3.141593,1 9.869604,2 -31.006277,3 97.409091,4 -306.019685,5 961.389194,6 -3020.293228,7 9488.531016,8 -29809.099333,9 2.503179}
{0 -3.041593,1 9.251286,2 -28.138643,3 85.58629,4 -260.318632,5 791.783238,6 -2408.282079,7 7325.01308,8 -22279.705971,9 -2.025162}
{0 -2.941593,1 8.652967,2 -25.453505,3 74.873844,4 -220.248349,5 647.880925,6 -1905.801769,7 5606.092483,8 -16490.840462,9 0.028461}
{0 -2.841593,1 8.074649,2 -22.944863,3 65.199953,4 -185.271709,5 526.466726,6 -1496.003981,7 4251.033922,8 -12079.706762,9 -0.182471}
{0 -2.741593,1 7.51633,2 -20.606716,3 56.495221,4 -154.886882,5 424.636739,6 -1164.180964,7 3191.709979,8 -8750.368631,9 1.906294}
{0 -2.641593,1 6.978012,2 -18.433065,3 48.692648,4 -128.626141,5 339.777869,6 -897.554724,7 2370.973964,8 -6263.147406,9 -0.985578}
{0 -2.541593,1 6.459693,2 -16.417909,3 41.727636,4 -106.054654,5 269.54773,6 -685.080531,7 1741.195644,8 -4425.410058,9 -2.201384}
{0 -2.441593,1 5.961375,2 -14.555249,3 35.537988,4 -86.769291,5 211.855263,6 -517.264254,7 1262.948602,8 -3083.606027,9 -1.775242}
{0 -2.341593,1 5.483056,2 -12.839084,3 30.063905,4 -70.397419,5 164.842078,6 -385.993,7 903.838372,8 -2116.421292,9 -0.442979}
{0 -2.241593,1 5.024738,2 -11.263415,3 25.247988,4 -56.595705,5 126.864516,6 -284.378568,7 637.460908,8 -1428.927688,9 -1.16465}
{0 -2.141593,1 4.586419,2 -9.822241,3 21.03524,4 -45.048916,5 96.476427,6 -206.613207,7 442.481326,8 -947.614758,9 -3.784618}
{0 -2.041593,1 4.168101,2 -8.509563,3 17.373062,4 -35.468716,5 72.412671,6 -147.837177,7 301.823294,8 -616.200219,9 1.176689}
{0 -1.941593,1 3.769782,2 -7.319381,3 14.211257,4 -27.592471,5 53.57334,6 -104.017603,7 201.959813,8 -392.12369,9 -1.889971}
{0 -1.841593,1 3.391464,2 -6.245694,3 11.502025,4 -21.182044,5 39.008697,6 -71.83813,7 132.296572,8 -243.636395,9 4.080829}
{0 -1.741593,1 3.033145,2 -5.282503,3 9.199968,4 -16.022597,5 27.904838,6 -48.598861,7 84.639419,8 -147.40739,9 -1.015339}
{0 -1.641593,1 2.694826,2 -4.423807,3 7.26209,4 -11.921393,5 19.570071,6 -32.126085,7 52.737945,8 -86.574222,9 -1.506393}
{0 -1.541593,1 2.376508,2 -3.663607,3 5.64779,4 -8.706591,5 13.422017,6 -20.691283,7 31.89753,8 -49.172998,9 -0.828176}
{0 -1.441593,1 2.078189,2 -2.995903,3 4.318871,4 -6.226053,5 8.975432,6 -12.938917,7 18.652648,8 -26.88952,9 -0.549117}
{0 -1.341593,1 1.799871,2 -2.414694,3 3.239535,4 -4.346136,5 5.830745,6 -7.822484,7 10.494587,8 -14.079461,9 0.121326}
{0 -1.241593,1 1.541552,2 -1.91398,3 2.376384,4 -2.9505,5 3.66332,6 -4.548351,7 5.647199,8 -7.01152,9 4.307412}
{0 -1.141593,1 1.303234,2 -1.487762,3 1.698418,4 -1.938902,5 2.213436,6 -2.526842,7 2.884625,8 -3.293066,9 -4.795254}
{0 -1.041593,1 1.084915,2 -1.13004,3 1.177041,4 -1.225997,5 1.27699,6 -1.330103,7 1.385426,8 -1.443049,9 -2.88773}
{0 -0.941593,1 0.886597,2 -0.834813,3 0.786054,4 -0.740142,5 0.696913,6 -0.656208,7 0.617881,8 -0.581792,9 -2.176568}
{0 -0.841593,1 0.708278,2 -0.596082,3 0.501658,4 -0.422192,5 0.355313,6 -0.299029,7 0.251661,8 -0.211796,9 -0.129709}
{0 -0.741593,1 0.54996,2 -0.407846,3 0.302456,4 -0.224299,5 0.166338,6 -0.123355,7 0.091479,8 -0.06784,9 -1.426764}
{0 -0.641593,1 0.411641,2 -0.264106,3 0.169448,4 -0.108717,5 0.069752,6 -0.044752,7 0.028713,8 -0.018422,9 0.526361}
{0 -0.541593,1 0.293323,2 -0.158861,3 0.086038,4 -0.046598,5 0.025237,6 -0.013668,7 0.007403,8 -0.004009,9 -3.296376}
